ProductID,ProductName,Latest_Hotness,Peak_Hotness,Avg_Hotness,Latest_Trend,Peak_Search,Peak_Views,Demand_Score,Destination,HotelType Short,Region,Agoda Status,Ctrip Status,Revenue,B2B2C RN,Revenue Score,RN Score,Mapping Score,Business Score,Opportunity Score,Agoda Score,Ctrip Score,Revenue Score v2,RN Score v2,Mapping Score v2,Business Score v2,Opportunity Score v2,Opportunity Index,Commercial Rank,Priority,Action,Reason,Workflow Status,Owner,SLA,Business Impact
63838.0,De Botan Srinakarin Hotel,0.314492179793861,0.3619426886666744,0.3281987531468185,0.492489205948276,47.0,3.0,31.48,Bangkok,LT,BKK - Metro - Chon,Null,Not Live,30593.0,2.0,0.4724920353,0.0673627484,20.0,4.26,15.005,0.0,40.0,0.47,0.07,0,6.55,6.55,27.64,95,High,Monitor,No immediate action required.,To Do,Commercial,-,Low
4920622.0,Laguna Grand Hotel & Spa Songkhla,0.4177910908894914,0.4500073790550224,0.4305214288562938,0.4996275481284045,50.0,78.0,38.69,Songkhla,KA,Lower South - West,Mapped,Null,377266.0,137.0,5.826581166,4.614348265,50.0,14.3,17.57,100.0,0.0,5.83,4.61,50,12.04,6.02,27.62,96,High,Monitor,No immediate action required.,To Do,Commercial,-,Low
4920292.0,O.K. Resort Banpong Ratchaburi,0.3674837068618271,0.4035804692323652,0.367479266480407,0.4964740537034025,6.0,135.0,30.03,Ratchaburi,LT,Lower South - West,Not mapped,Null,62287.0,70.0,0.9619731671,2.357696194,0.0,1.19,,0.0,0.0,0.96,2.36,0,7.19,7.19,27.57,97,High,Monitor,No immediate action required.,To Do,Commercial,-,Low
21435.0,Dara Hotel Phuket,0.4336065850501489,0.4913012184042317,0.4559742265143773,0.500114505674076,54.0,139.0,42.02,Phuket,KA,Upper South,Mapped,Mapped,1180098.0,237.0,18.2256838,7.982485685,100.0,31.51,15.755,100.0,100.0,18.23,7.98,100,19.91,0.0,27.56,98,High,Monitor,No immediate action required.,To Do,Commercial,-,Low
4543074.0,Nibong Apartment,0.4161845031339284,0.4432718684010291,0.43541113779878154,0.5032455797609168,1.0,63.0,28.89,Yala,KA,Lower South - West,Not mapped,Not Live,167722.0,60.0,2.590328559,2.020882452,20.0,5.9,11.995,0.0,40.0,2.59,2.02,0,7.68,7.68,27.54,99,High,Monitor,No immediate action required.,To Do,Commercial,-,Low
137985.0,Baan Saen Sabai Ratchaburi,0.3690064363550348,0.4088899369215402,0.3619132105432114,0.5043127231249603,6.0,17.0,26.53,Ratchaburi,KA,Lower South - West,Not mapped,Not Mapped,484066.0,1.0,7.476020378,0.0336813742,0.0,3.75,16.04,0.0,0.0,7.48,0.03,0,9.06,9.06,27.53,100,High,Expand to Ctrip,Expand distribution to increase room nights.,To Do,Market Manager,72 Hours,Medium
183055.0,Chantra Hotel Sakaeo,0.3596385467163252,0.4362984615717866,0.38852582742564473,0.4945933615718795,8.0,290.0,34.95,Sa Kaeo,KA,Upper Isan - East,Mapped,Not Mapped,614099.0,244.0,9.484280527,8.218255305,50.0,17.21,22.43,100.0,0.0,9.48,8.22,50,14.2,7.1,27.53,101,High,Expand to Ctrip,Expand distribution to increase room nights.,To Do,Market Manager,72 Hours,Medium
2000227.0,Justice Hotel,0.4448022019690598,0.5386009888674461,0.47611342640873716,0.4989208870756608,66.0,48.0,41.86,Bangkok,KA,BKK - Metro - Chon,Mapped,Mapped,702054.0,587.0,10.84267202,19.77096666,100.0,31.35,15.675,100.0,100.0,10.84,19.77,100,19.72,0.0,27.41,102,High,Monitor,No immediate action required.,To Do,Commercial,-,Low
4606475.0,Belle Grand Hotel Udon Thani,0.3072434853617177,0.4758422200308498,0.38766960881275786,0.4958172069501703,29.0,25.0,28.52,Udon Thani,KA,Upper Isan - East,Mapped,Mapped,2196710.0,505.0,33.92644714,17.00909397,100.0,42.07,21.035,100.0,100.0,33.93,17.01,100,27.77,0.0,27.4,103,High,Monitor,No immediate action required.,To Do,Commercial,-,Low
4936123.0,"Hotel Golf & Gift Home, Phitsanulok",0.3966740683159537,0.4028206710371803,0.3983883067669172,0.5069043469944702,19.0,7.0,29.84,Phitsanulok,KA,North,Not mapped,Null,75962.0,4.0,1.173168287,0.1347254968,0.0,0.63,11.9,0.0,0.0,1.17,0.13,0,6.59,6.59,27.32,104,High,Monitor,No immediate action required.,To Do,Commercial,-,Low
137910.0,Promsook Apartment,0.4347316240503791,0.4391933394291117,0.4367277301370227,0.5070888095172366,40.0,23.0,35.88,Chonburi,KA,BKK - Metro - Chon,Mapped,Mapped,1843092.0,153.0,28.46510614,5.153250253,100.0,35.78,17.89,100.0,100.0,28.47,5.15,100,22.96,0.0,27.31,105,High,Monitor,No immediate action required.,To Do,Commercial,-,Low
