ProductID,Current_Hotness,Peak_Hotness,Avg_Hotness,Current_Trend,Current_Views,Peak_CheckIn_Views,Latest_Snapshot,ProductName,Active_View_Intervals,Modification_Count,Last_Modified_At,Peak_CheckIn_Date,Demand_Score
183014,0.3402424740726754,0.3402424740726754,0.3402424740726754,0.5044377493107751,50.0,50.0,2026-08-17 02:45:01,D11 Hotel Phitsanulok,7,0,,2026-08-17,24.15
183018,0.3945717282271855,0.3945717282271855,0.3945717282271855,0.5153109952364666,42.0,42.0,2026-08-17 23:33:38,Srichada Hotel Khaolak,8,0,,2026-08-17,26.6
183023,0.40796665494886764,0.40796665494886764,0.40796665494886764,0.5106119199855413,92.0,92.0,2026-08-17 23:49:11,Samui City Hotel,3,1,2026-08-17 23:18:04,2026-08-22,26.73
183031,0.33507641446815956,0.33507641446815956,0.33507641446815956,0.5264317933114107,24.0,24.0,2026-08-17 11:06:49,Perfect Place Surat,8,0,,2026-08-24,24.44
183037,0.4931871310653302,0.5125973675745363,0.4931871310653302,0.5145174390712537,257.0,150.0,2026-08-17 23:49:11,The Route Sriracha Hotel and Residence,8,2,2026-08-17 23:03:15,2026-08-22,30.55
183047,0.41540433456631204,0.44561342322510905,0.41540433456631204,0.5124775256412333,236.0,107.0,2026-08-17 13:52:19,R-Photo Hotel,28,5,2026-08-17 13:52:19,2026-08-18,28.67
183049,0.3800698887005971,0.4326829720732389,0.3800698887005971,0.5102472977000786,1469.0,271.0,2026-08-17 14:53:50,Blue Sky Residence Airport,76,6,2026-08-17 14:37:20,2026-09-10,30.37
183052,0.3193866139163786,0.3193866139163786,0.3193866139163786,0.5292509392225848,7.0,7.0,2026-08-17 01:59:55,Berich Hotel Tak,7,0,,2026-08-18,23.81
183053,0.404798743132539,0.404798743132539,0.404798743132539,0.5279237785037735,72.0,72.0,2026-08-17 13:37:39,Kosit One Hotel Bueang Sam Phan,15,1,2026-08-17 11:51:47,2026-08-17,27.71
183055,0.4392449745113327,0.45511514639685074,0.4392449745113327,0.5152923219094085,3597.0,1438.0,2026-08-17 20:19:27,Chantra Hotel Sakaeo,22,5,2026-08-17 19:33:58,2026-08-20,29.53
183058,0.3626607448635341,0.3626607448635341,0.3626607448635341,0.5066782801576033,62.0,62.0,2026-08-17 19:48:55,Morakot Hotel Chumphon,6,1,2026-08-17 19:48:55,2026-08-17,25.03
