ProductID,ProductName,CheckInDate,booking_count
4606562,Holiday Inn and Suites Siracha Laemchabang,"Jul 21, 2026, 12:00:00 AM",1
4921194,The Neuf Ratchada,"Aug 13, 2026, 12:00:00 AM",2
4884544,Rangsit Residence,"Jul 11, 2026, 12:00:00 AM",1
5102560,Sugar Marina Hotel -POP- Kata Beach,"Jul 31, 2026, 12:00:00 AM",2
2000356,Sakura Boutique Hotel Pluakdaeng,"Jul 6, 2026, 12:00:00 AM",2
2012247,Somerset Harbourview Sri Racha,"Sep 28, 2026, 12:00:00 AM",1
2009950,Suntria Hotel Pattaya,"Dec 29, 2026, 12:00:00 AM",1
152893,168 Studio @Ubon Ratchathani,"Jul 21, 2026, 12:00:00 AM",2
5101959,Tassana Place Boutique Hotel,"Jul 12, 2026, 12:00:00 AM",1
5101177,Indigo Hotel Hatyai,"Sep 21, 2026, 12:00:00 AM",3
21937,Khonkaen Hotel,"Jul 18, 2026, 12:00:00 AM",6
232,FX Hotel Metrolink Makkasan,"Nov 1, 2026, 12:00:00 AM",1
2001054,Jasmine Resort Sriracha,"Aug 3, 2026, 12:00:00 AM",2
824,Sugar Marina Resort - ART - Karon Beach,"Oct 28, 2026, 12:00:00 AM",1
2006010,The Xtreme Suites Hotel,"Jul 11, 2026, 12:00:00 AM",3
977,Diamond Cottage Resort & Spa,"Sep 25, 2026, 12:00:00 AM",1
21421,Siam Tara Palace Hotel,"Aug 31, 2026, 12:00:00 AM",1
4640925,The Residence Hotel,"Jul 23, 2026, 12:00:00 AM",1
43850,Ratchaphruek Pavilion,"Oct 24, 2026, 12:00:00 AM",5
4933490,Grand BS Airport Hotel Suvarnabhumi,"Jul 16, 2026, 12:00:00 AM",1
25149,Fortune View Kong Nakhon Phanom,"Jul 28, 2026, 12:00:00 AM",4
65009,White Inn Nongkhai,"Oct 19, 2026, 12:00:00 AM",1
23753,The Grand Wipanan Residence,"Aug 8, 2026, 12:00:00 AM",2
5101096,RoomQuest SPS Hotel and Residence,"Aug 14, 2026, 12:00:00 AM",5
137926,Feel@Home Place,"Jul 20, 2026, 12:00:00 AM",1
182,Furama Silom Bangkok,"Oct 17, 2026, 12:00:00 AM",1
4883872,The Chess hotel,"Jul 31, 2026, 12:00:00 AM",3
4968456,BK Resort,"Jul 28, 2026, 12:00:00 AM",5
21697,Dhevaraj Hotel,"Jul 28, 2026, 12:00:00 AM",3
4868069,T Park Pakchong,"Aug 10, 2026, 12:00:00 AM",1
4918110,101 Hotel Roi Et,"Jul 20, 2026, 12:00:00 AM",3
317,Avana Hotel and Convention Center,"Jul 30, 2026, 12:00:00 AM",2
137991,Praso At Ratchada 12,"Dec 4, 2026, 12:00:00 AM",1
183201,Phimai Paradise Hotel,"Nov 8, 2026, 12:00:00 AM",3
2000356,Sakura Boutique Hotel Pluakdaeng,"Jul 11, 2026, 12:00:00 AM",3
2010138,Triple Z Hotel,"Jul 19, 2026, 12:00:00 AM",1
63574,The Nest Hotel Phichit,"Jul 23, 2026, 12:00:00 AM",6
1875,First Residence Samui,"Sep 4, 2026, 12:00:00 AM",1
63739,Tonwa Resort,"Aug 4, 2026, 12:00:00 AM",1
63740,Gallery Lake View Hotel,"Jul 25, 2026, 12:00:00 AM",6
